pathIdx,startPoint,endPoint,genericPD,pathLength
1,latched_branch_reg,reg_next_pc_reg[31],859.0,34
2,latched_branch_reg,reg_next_pc_reg[27],859.0,34
3,instr_sub_reg,alu_out_q_reg[30],855.0,36
4,instr_sub_reg,alu_out_q_reg[29],855.0,36
5,latched_branch_reg,reg_next_pc_reg[30],843.0,33
6,latched_branch_reg,reg_next_pc_reg[26],843.0,33
7,latched_branch_reg,reg_next_pc_reg[29],839.0,33
8,latched_branch_reg,reg_next_pc_reg[28],839.0,33
9,latched_branch_reg,reg_next_pc_reg[25],839.0,33
10,latched_branch_reg,reg_next_pc_reg[23],834.0,33
11,instr_sub_reg,alu_out_q_reg[31],830.0,35
12,latched_branch_reg,reg_next_pc_reg[19],827.0,33
13,instr_sub_reg,alu_out_q_reg[23],824.0,35
14,instr_sub_reg,alu_out_q_reg[28],819.0,34
15,latched_branch_reg,reg_next_pc_reg[22],818.0,32
16,reg_op1_reg[0],reg_op1_reg[31],785.0,34
17,latched_branch_reg,reg_next_pc_reg[21],814.0,32
18,instr_sub_reg,alu_out_q_reg[27],810.0,34
19,instr_sub_reg,alu_out_q_reg[26],810.0,34
20,instr_sub_reg,alu_out_q_reg[25],810.0,34
21,instr_sub_reg,alu_out_q_reg[22],808.0,34
22,latched_branch_reg,reg_next_pc_reg[24],803.0,31
23,instr_sub_reg,alu_out_q_reg[21],804.0,34
24,instr_sub_reg,alu_out_q_reg[19],801.0,34
25,latched_branch_reg,reg_next_pc_reg[18],791.0,31
26,reg_op1_reg[0],reg_op1_reg[23],749.0,32
27,latched_branch_reg,reg_next_pc_reg[20],778.0,30
28,instr_sub_reg,alu_out_q_reg[24],774.0,32
29,reg_op1_reg[0],reg_op1_reg[27],741.0,31
30,latched_branch_reg,reg_next_pc_reg[17],773.0,30
31,instr_sub_reg,alu_out_q_reg[20],768.0,32
32,instr_sub_reg,alu_out_q_reg[18],765.0,32
33,decoded_imm_reg[1],reg_out_reg[31],764.0,34
34,instr_sub_reg,alu_out_q_reg[17],763.0,32
35,reg_op1_reg[0],reg_op1_reg[26],725.0,30
36,reg_op1_reg[0],reg_op1_reg[30],726.0,31
37,reg_op1_reg[0],reg_op1_reg[28],721.0,30
38,reg_op1_reg[0],reg_op1_reg[25],721.0,30
39,count_instr_reg[0],count_instr_reg[63],693.0,25
40,count_instr_reg[0],count_instr_reg[62],693.0,25
41,count_instr_reg[0],count_instr_reg[59],690.0,25
42,reg_op1_reg[0],reg_op1_reg[22],713.0,30
43,reg_op1_reg[0],reg_op1_reg[21],711.0,30
44,reg_op1_reg[0],reg_op1_reg[29],710.0,30
45,count_cycle_reg[0],count_cycle_reg[63],731.0,27
46,count_cycle_reg[0],count_cycle_reg[62],731.0,27
47,reg_op1_reg[0],reg_op1_reg[19],708.0,30
48,count_cycle_reg[0],count_cycle_reg[59],728.0,27
49,decoded_imm_reg[1],reg_out_reg[27],738.0,32
50,reg_op1_reg[0],reg_op1_reg[24],701.0,29
51,latched_branch_reg,reg_next_pc_reg[16],733.0,28
52,count_instr_reg[0],count_instr_reg[61],673.0,24
53,decoded_imm_reg[1],reg_out_reg[23],733.0,32
54,reg_op1_reg[0],mem_do_rinst_reg,709.0,34
55,count_instr_reg[0],count_instr_reg[58],670.0,24
56,decoded_imm_reg[1],reg_out_reg[30],728.0,32
57,instr_sub_reg,alu_out_q_reg[16],727.0,30
58,count_instr_reg[0],count_instr_reg[55],665.0,24
59,reg_op1_reg[0],latched_branch_reg,685.0,33
60,reg_op1_reg[0],mem_do_rinst_reg,700.0,34
61,count_cycle_reg[0],count_cycle_reg[61],711.0,26
62,reg_op1_reg[0],reg_op1_reg[18],688.0,29
63,decoded_imm_reg[1],reg_out_reg[26],722.0,31
64,reg_op1_reg[0],reg_op1_reg[17],686.0,29
65,count_cycle_reg[0],count_cycle_reg[58],708.0,26
66,decoded_imm_reg[1],reg_out_reg[28],718.0,31
67,decoded_imm_reg[1],reg_out_reg[25],718.0,31
68,count_cycle_reg[0],count_cycle_reg[55],703.0,26
69,reg_op1_reg[0],reg_op1_reg[20],675.0,28
70,decoded_imm_reg[1],reg_out_reg[29],710.0,31
71,count_instr_reg[0],count_instr_reg[60],648.0,23
72,count_instr_reg[0],count_instr_reg[57],648.0,23
73,count_instr_reg[0],count_instr_reg[54],645.0,23
74,reg_op1_reg[0],decoder_trigger_reg,713.0,35
75,reg_op1_reg[0],latched_store_reg,661.0,32
76,count_instr_reg[0],count_instr_reg[51],640.0,23
77,decoded_imm_reg[1],reg_out_reg[22],697.0,30
78,count_instr_reg[0],count_instr_reg[47],637.0,23
79,count_cycle_reg[0],count_cycle_reg[60],686.0,25
80,count_cycle_reg[0],count_cycle_reg[57],686.0,25
81,decoded_imm_reg[1],reg_out_reg[21],695.0,30
82,latched_branch_reg,reg_next_pc_reg[15],692.0,26
83,count_cycle_reg[0],count_cycle_reg[54],683.0,25
84,count_cycle_reg[0],count_cycle_reg[51],678.0,25
85,count_instr_reg[0],count_instr_reg[56],626.0,22
86,count_cycle_reg[0],count_cycle_reg[47],675.0,25
87,reg_op1_reg[0],reg_op1_reg[16],650.0,27
88,count_instr_reg[0],count_instr_reg[53],623.0,22
89,decoded_imm_reg[1],reg_out_reg[24],682.0,29
90,instr_sub_reg,alu_out_q_reg[15],680.0,28
91,count_instr_reg[0],count_instr_reg[50],620.0,22
92,count_instr_reg[0],count_instr_reg[46],617.0,22
93,count_instr_reg[0],count_instr_reg[43],615.0,22
94,count_cycle_reg[0],count_cycle_reg[56],664.0,24
95,decoded_imm_reg[1],reg_out_reg[19],672.0,29
96,count_cycle_reg[0],count_cycle_reg[53],661.0,24
97,count_instr_reg[0],count_instr_reg[39],609.0,22
98,count_cycle_reg[0],count_cycle_reg[50],658.0,24
99,count_cycle_reg[0],count_cycle_reg[46],655.0,24
100,count_cycle_reg[0],count_cycle_reg[43],653.0,24
101,count_instr_reg[0],count_instr_reg[52],601.0,21
102,decoded_imm_reg[1],reg_out_reg[20],659.0,28
103,count_instr_reg[0],count_instr_reg[49],598.0,21
104,count_cycle_reg[0],count_cycle_reg[39],647.0,24
105,latched_branch_reg,reg_next_pc_reg[14],654.0,24
106,count_instr_reg[0],count_instr_reg[45],595.0,21
107,count_instr_reg[0],count_instr_reg[42],595.0,21
108,latched_branch_reg,reg_next_pc_reg[13],652.0,24
109,reg_op1_reg[0],alu_out_q_reg[0],661.0,32
110,count_cycle_reg[0],count_cycle_reg[52],639.0,23
111,count_instr_reg[0],count_instr_reg[38],589.0,21
112,count_instr_reg[0],count_instr_reg[35],587.0,21
113,count_cycle_reg[0],count_cycle_reg[49],636.0,23
114,count_cycle_reg[0],count_cycle_reg[45],633.0,23
115,count_cycle_reg[0],count_cycle_reg[42],633.0,23
116,instr_sub_reg,alu_out_q_reg[14],642.0,26
117,instr_sub_reg,alu_out_q_reg[13],640.0,26
118,decoded_imm_reg[1],reg_out_reg[18],636.0,27
119,reg_op1_reg[0],reg_op1_reg[15],603.0,25
120,count_cycle_reg[0],count_cycle_reg[38],627.0,23
121,instr_sub_reg,alu_out_q_reg[11],637.0,26
122,count_instr_reg[0],count_instr_reg[48],576.0,20
123,latched_branch_reg,reg_next_pc_reg[11],633.0,23
124,count_cycle_reg[0],count_cycle_reg[35],625.0,23
125,count_instr_reg[0],count_instr_reg[44],573.0,20
126,count_instr_reg[0],count_instr_reg[41],573.0,20
127,decoded_imm_reg[1],reg_out_reg[17],630.0,27
128,count_instr_reg[0],count_instr_reg[37],567.0,20
129,count_instr_reg[0],count_instr_reg[34],567.0,20
130,count_cycle_reg[0],count_cycle_reg[48],614.0,22
131,count_cycle_reg[0],count_cycle_reg[44],611.0,22
132,count_cycle_reg[0],count_cycle_reg[41],611.0,22
133,latched_branch_reg,reg_next_pc_reg[12],616.0,22
134,count_cycle_reg[0],count_cycle_reg[37],605.0,22
135,count_cycle_reg[0],count_cycle_reg[34],605.0,22
136,count_instr_reg[0],count_instr_reg[40],551.0,19
137,instr_sub_reg,alu_out_q_reg[12],604.0,24
138,count_instr_reg[0],count_instr_reg[36],545.0,19
139,count_instr_reg[0],count_instr_reg[33],545.0,19
140,instr_sub_reg,alu_out_q_reg[10],601.0,24
141,reg_op1_reg[0],reg_op1_reg[14],565.0,23
142,latched_branch_reg,reg_next_pc_reg[10],597.0,21
143,instr_sub_reg,alu_out_q_reg[9],599.0,24
144,count_cycle_reg[0],count_cycle_reg[40],589.0,21
145,reg_op1_reg[0],reg_op1_reg[13],563.0,23
146,decoded_imm_reg[1],reg_out_reg[16],594.0,25
147,reg_op1_reg[0],reg_op1_reg[11],560.0,23
148,latched_branch_reg,reg_next_pc_reg[9],591.0,21
149,count_cycle_reg[0],count_cycle_reg[36],583.0,21
150,count_cycle_reg[0],count_cycle_reg[33],583.0,21
151,count_instr_reg[0],count_instr_reg[32],523.0,18
152,reg_op1_reg[0],reg_op1_reg[12],543.0,22
153,reg_op1_reg[0],reg_op1_reg[10],540.0,22
154,count_instr_reg[0],count_instr_reg[31],515.0,18
155,reg_op1_reg[0],reg_op1_reg[9],538.0,22
156,count_cycle_reg[0],count_cycle_reg[32],561.0,20
157,instr_sub_reg,reg_op1_reg[8],536.0,19
158,instr_sub_reg,reg_op1_reg[7],536.0,19
159,instr_sub_reg,reg_op1_reg[6],536.0,19
160,instr_sub_reg,reg_op1_reg[5],536.0,19
161,instr_sub_reg,reg_op1_reg[4],536.0,19
162,instr_sub_reg,reg_op1_reg[3],536.0,19
163,instr_sub_reg,reg_op1_reg[2],536.0,19
164,instr_sub_reg,reg_op1_reg[1],536.0,19
165,instr_sub_reg,reg_op1_reg[0],536.0,19
166,instr_sub_reg,alu_out_q_reg[8],563.0,22
167,count_cycle_reg[0],count_cycle_reg[31],553.0,20
168,latched_branch_reg,reg_next_pc_reg[8],555.0,19
169,decoded_imm_reg[1],reg_out_reg[15],553.0,23
170,count_instr_reg[0],count_instr_reg[30],495.0,17
171,count_instr_reg[0],count_instr_reg[27],490.0,17
172,count_cycle_reg[0],count_cycle_reg[30],533.0,19
173,count_cycle_reg[0],count_cycle_reg[27],528.0,19
174,count_instr_reg[0],count_instr_reg[29],470.0,16
175,count_instr_reg[0],count_instr_reg[26],470.0,16
176,count_instr_reg[0],count_instr_reg[23],465.0,16
177,instr_sub_reg,alu_out_q_reg[7],519.0,20
178,decoded_imm_reg[1],reg_out_reg[14],515.0,21
179,latched_branch_reg,reg_next_pc_reg[7],514.0,17
180,count_cycle_reg[0],count_cycle_reg[29],508.0,18
181,count_cycle_reg[0],count_cycle_reg[26],508.0,18
182,count_cycle_reg[0],count_cycle_reg[23],503.0,18
183,count_instr_reg[0],count_instr_reg[28],448.0,15
184,count_instr_reg[0],count_instr_reg[25],448.0,15
185,count_instr_reg[0],count_instr_reg[22],445.0,15
186,decoded_imm_reg[1],reg_out_reg[13],497.0,20
187,count_instr_reg[0],count_instr_reg[19],440.0,15
