pathIdx,startPoint,endPoint,techmapPD,pathLength
1,instr_sub_reg_clk,alu_out_q_reg_29__D,0.6330000000000001,14
2,instr_sub_reg_clk,alu_out_q_reg_26__D,0.6330000000000001,14
3,instr_jal_reg_clk,reg_next_pc_reg_25__D,0.6290000000000001,13
4,instr_jal_reg_clk,reg_next_pc_reg_19__D,0.6260000000000001,13
5,instr_jal_reg_clk,reg_next_pc_reg_28__D,0.6260000000000001,13
6,instr_jal_reg_clk,reg_next_pc_reg_21__D,0.6240000000000001,13
7,instr_jal_reg_clk,reg_next_pc_reg_31__D,0.6200000000000001,13
8,instr_jal_reg_clk,reg_next_pc_reg_26__D,0.6180000000000001,13
9,instr_sub_reg_clk,alu_out_q_reg_30__D,0.6140000000000002,16
10,instr_sub_reg_clk,alu_out_q_reg_28__D,0.6140000000000002,16
11,instr_sub_reg_clk,alu_out_q_reg_27__D,0.6140000000000002,16
12,instr_sub_reg_clk,alu_out_q_reg_25__D,0.6140000000000002,16
13,instr_sub_reg_clk,alu_out_q_reg_21__D,0.6140000000000002,16
14,instr_jal_reg_clk,reg_next_pc_reg_27__D,0.611,13
15,instr_jal_reg_clk,reg_next_pc_reg_23__D,0.6070000000000001,13
16,instr_jal_reg_clk,reg_next_pc_reg_18__D,0.6070000000000001,13
17,instr_sub_reg_clk,alu_out_q_reg_24__D,0.5960000000000001,14
18,instr_jal_reg_clk,reg_next_pc_reg_24__D,0.5960000000000001,13
19,instr_jal_reg_clk,reg_next_pc_reg_20__D,0.5940000000000001,12
20,instr_jal_reg_clk,reg_next_pc_reg_22__D,0.5950000000000001,13
21,instr_sub_reg_clk,alu_out_q_reg_31__D,0.5950000000000002,16
22,instr_sub_reg_clk,alu_out_q_reg_22__D,0.5900000000000001,14
23,instr_sub_reg_clk,alu_out_q_reg_19__D,0.5900000000000001,14
24,reg_pc_reg_10__clk,cpuregs_reg_30__21__SI,0.531,9
25,instr_jal_reg_clk,reg_next_pc_reg_29__D,0.593,12
26,reg_pc_reg_10__clk,cpuregs_reg_30__22__SI,0.531,9
27,reg_pc_reg_10__clk,cpuregs_reg_20__22__SI,0.531,9
28,reg_pc_reg_10__clk,cpuregs_reg_11__22__SI,0.531,9
29,instr_jal_reg_clk,reg_next_pc_reg_17__D,0.5940000000000001,12
30,reg_pc_reg_10__clk,cpuregs_reg_20__21__SI,0.531,9
31,reg_pc_reg_10__clk,cpuregs_reg_11__21__SI,0.531,9
32,reg_pc_reg_10__clk,cpuregs_reg_26__22__SI,0.531,9
33,reg_pc_reg_10__clk,cpuregs_reg_26__21__SI,0.531,9
34,reg_pc_reg_10__clk,cpuregs_reg_23__22__SI,0.531,9
35,reg_pc_reg_10__clk,cpuregs_reg_23__21__SI,0.531,9
36,reg_pc_reg_10__clk,cpuregs_reg_30__26__SI,0.531,9
37,reg_pc_reg_10__clk,cpuregs_reg_20__26__SI,0.531,9
