Launch Point, Capturing point, Data Path Delay, Number of cominational cells in data path
reg_pc_reg[12]/CK,cpuregs_reg[7][16]/D,0.388,13
reg_pc_reg[12]/CK,cpuregs_reg[25][26]/D,0.393,12
latched_rd_reg[0]/CK,cpuregs_reg[5][8]/SE,0.325,9
reg_pc_reg[7]/CK,cpuregs_reg[16][13]/D,0.374,9
reg_pc_reg[12]/CK,cpuregs_reg[26][29]/D,0.398,13
reg_pc_reg[12]/CK,cpuregs_reg[28][30]/D,0.395,13
reg_pc_reg[12]/CK,cpuregs_reg[31][30]/D,0.4,14
reg_pc_reg[12]/CK,cpuregs_reg[29][30]/D,0.394,13
reg_pc_reg[12]/CK,cpuregs_reg[14][26]/D,0.392,12
reg_pc_reg[12]/CK,cpuregs_reg[16][27]/D,0.397,11
cpu_state_reg[0]/CK,cpuregs_reg[14][16]/D,0.396,12
reg_pc_reg[12]/CK,cpuregs_reg[4][27]/D,0.396,11
cpu_state_reg[0]/CK,cpuregs_reg[18][0]/D,0.399,11
mem_valid_reg/CK,instr_jal_reg/D,0.385,15
reg_pc_reg[7]/CK,cpuregs_reg[6][12]/D,0.382,11
reg_pc_reg[12]/CK,cpuregs_reg[27][29]/D,0.398,13
reg_pc_reg[7]/CK,cpuregs_reg[14][10]/D,0.395,10
reg_pc_reg[12]/CK,cpuregs_reg[2][26]/D,0.391,12
latched_stalu_reg/CK,reg_next_pc_reg[31]/D,0.427,17
decoded_imm_j_reg[2]/CK,reg_sh_reg[3]/D,0.392,11
reg_pc_reg[8]/CK,cpuregs_reg[17][11]/D,0.342,7
mem_valid_reg/CK,decoded_imm_j_reg[20]/D,0.386,14
cpu_state_reg[0]/CK,cpuregs_reg[18][2]/D,0.4,11
reg_pc_reg[8]/CK,cpuregs_reg[20][11]/D,0.393,10
reg_pc_reg[7]/CK,cpuregs_reg[17][13]/D,0.373,9
reg_pc_reg[7]/CK,cpuregs_reg[1][10]/D,0.342,8
reg_pc_reg[7]/CK,cpuregs_reg[24][10]/D,0.392,10
latched_stalu_reg/CK,reg_next_pc_reg[7]/D,0.393,16
mem_valid_reg/CK,decoded_imm_j_reg[10]/D,0.387,14
latched_rd_reg[0]/CK,cpuregs_reg[27][28]/D,0.395,12
cpu_state_reg[0]/CK,cpuregs_reg[19][11]/D,0.401,13
reg_pc_reg[7]/CK,cpuregs_reg[5][10]/D,0.342,8
mem_valid_reg/CK,decoded_imm_j_reg[8]/D,0.385,14
cpu_state_reg[0]/CK,cpuregs_reg[22][1]/D,0.399,12
reg_pc_reg[12]/CK,cpuregs_reg[17][27]/D,0.396,11
reg_pc_reg[7]/CK,cpuregs_reg[4][10]/D,0.342,8
decoded_imm_reg[3]/CK,reg_out_reg[7]/D,0.383,9
reg_pc_reg[7]/CK,cpuregs_reg[21][13]/D,0.4,11
reg_pc_reg[7]/CK,cpuregs_reg[26][10]/D,0.392,10
reg_pc_reg[12]/CK,cpuregs_reg[31][29]/D,0.398,13
reg_pc_reg[12]/CK,cpuregs_reg[24][26]/D,0.389,12
cpu_state_reg[0]/CK,cpuregs_reg[2][11]/D,0.395,11
mem_valid_reg/CK,decoded_imm_j_reg[13]/D,0.384,14
reg_pc_reg[7]/CK,cpuregs_reg[8][10]/D,0.343,8
cpu_state_reg[0]/CK,cpuregs_reg[11][7]/D,0.396,13
reg_pc_reg[7]/CK,cpuregs_reg[6][10]/D,0.39,10
mem_valid_reg/CK,decoded_imm_j_reg[11]/D,0.389,12
mem_valid_reg/CK,decoded_imm_j_reg[14]/D,0.384,14
mem_valid_reg/CK,decoded_imm_j_reg[6]/D,0.398,13
mem_do_rinst_reg/CK,mem_addr_reg[22]/SI,0.34,9
latched_rd_reg[0]/CK,cpuregs_reg[16][5]/SE,0.335,9
latched_rd_reg[0]/CK,cpuregs_reg[16][4]/SE,0.335,9
reg_pc_reg[12]/CK,cpuregs_reg[30][26]/D,0.394,12
reg_pc_reg[7]/CK,cpuregs_reg[13][10]/D,0.343,8
cpu_state_reg[0]/CK,cpuregs_reg[22][15]/D,0.399,12
mem_valid_reg/CK,decoded_imm_j_reg[18]/D,0.392,14
reg_pc_reg[12]/CK,cpuregs_reg[15][26]/D,0.388,12
latched_rd_reg[0]/CK,cpuregs_reg[16][10]/SE,0.336,9
cpu_state_reg[0]/CK,cpuregs_reg[22][31]/D,0.399,12
reg_pc_reg[12]/CK,cpuregs_reg[24][16]/D,0.39,13
cpu_state_reg[0]/CK,cpuregs_reg[22][30]/D,0.401,12
reg_pc_reg[12]/CK,cpuregs_reg[26][27]/D,0.395,12
latched_rd_reg[0]/CK,cpuregs_reg[27][30]/D,0.395,12
latched_rd_reg[0]/CK,cpuregs_reg[27][10]/D,0.394,12
mem_valid_reg/CK,decoded_imm_j_reg[9]/D,0.385,14
reg_pc_reg[12]/CK,cpuregs_reg[23][27]/D,0.394,12
reg_pc_reg[12]/CK,cpuregs_reg[28][26]/D,0.393,12
reg_pc_reg[12]/CK,cpuregs_reg[31][27]/D,0.395,12
reg_pc_reg[12]/CK,cpuregs_reg[6][27]/D,0.392,12
mem_valid_reg/CK,decoded_imm_j_reg[15]/D,0.398,14
latched_rd_reg[0]/CK,cpuregs_reg[16][1]/SE,0.336,9
latched_rd_reg[0]/CK,cpuregs_reg[11][6]/D,0.384,12
reg_pc_reg[12]/CK,cpuregs_reg[29][27]/D,0.394,12
reg_pc_reg[12]/CK,cpuregs_reg[23][26]/D,0.393,12
decoded_imm_j_reg[11]/CK,reg_sh_reg[4]/D,0.39,12
reg_pc_reg[7]/CK,cpuregs_reg[3][12]/D,0.379,11
mem_valid_reg/CK,decoded_imm_j_reg[12]/D,0.384,14
reg_pc_reg[12]/CK,cpuregs_reg[3][27]/D,0.392,12
latched_rd_reg[0]/CK,cpuregs_reg[5][24]/SE,0.325,9
reg_pc_reg[7]/CK,cpuregs_reg[20][10]/D,0.391,10
mem_valid_reg/CK,decoded_imm_j_reg[7]/D,0.398,13
mem_valid_reg/CK,decoded_imm_j_reg[5]/D,0.397,13
reg_pc_reg[12]/CK,cpuregs_reg[26][26]/D,0.393,12
reg_pc_reg[12]/CK,cpuregs_reg[15][20]/D,0.391,14
reg_pc_reg[12]/CK,cpuregs_reg[2][27]/D,0.391,12
mem_valid_reg/CK,decoded_rd_reg[0]/D,0.39,14
cpu_state_reg[0]/CK,cpuregs_reg[22][3]/D,0.395,11
reg_op1_reg[3]/CK,alu_out_q_reg[8]/D,0.372,11
latched_rd_reg[0]/CK,cpuregs_reg[11][0]/D,0.384,12
latched_rd_reg[0]/CK,cpuregs_reg[31][5]/D,0.389,12
mem_valid_reg/CK,decoded_rd_reg[1]/D,0.39,14
reg_pc_reg[12]/CK,cpuregs_reg[10][16]/D,0.386,13
cpu_state_reg[0]/CK,cpuregs_reg[26][4]/D,0.392,11
mem_valid_reg/CK,decoded_imm_j_reg[16]/D,0.391,14
latched_rd_reg[0]/CK,cpuregs_reg[16][0]/SE,0.335,9
cpu_state_reg[0]/CK,cpuregs_reg[22][4]/D,0.394,11
decoded_imm_j_reg[4]/CK,reg_sh_reg[1]/D,0.379,10
mem_valid_reg/CK,decoded_imm_j_reg[19]/D,0.391,14
reg_pc_reg[12]/CK,cpuregs_reg[26][30]/D,0.396,14
reg_op1_reg[3]/CK,alu_out_q_reg[6]/D,0.369,11
reg_pc_reg[12]/CK,cpuregs_reg[29][28]/D,0.39,12
reg_pc_reg[12]/CK,cpuregs_reg[31][28]/D,0.39,12
latched_rd_reg[0]/CK,cpuregs_reg[13][19]/SE,0.336,9
reg_pc_reg[12]/CK,cpuregs_reg[25][16]/D,0.39,13
cpu_state_reg[0]/CK,cpuregs_reg[22][2]/D,0.398,12
mem_valid_reg/CK,cpu_state_reg[6]/D,0.381,13
reg_pc_reg[12]/CK,cpuregs_reg[30][30]/D,0.397,14
mem_valid_reg/CK,decoded_imm_j_reg[3]/D,0.381,12
latched_rd_reg[0]/CK,cpuregs_reg[11][3]/D,0.384,12
latched_rd_reg[0]/CK,cpuregs_reg[23][10]/D,0.391,12
reg_pc_reg[12]/CK,cpuregs_reg[3][16]/D,0.386,13
reg_pc_reg[12]/CK,cpuregs_reg[28][28]/D,0.39,12
cpu_state_reg[0]/CK,cpuregs_reg[27][31]/D,0.397,12
latched_rd_reg[0]/CK,cpuregs_reg[6][18]/D,0.445,14
mem_valid_reg/CK,decoded_imm_j_reg[17]/D,0.39,14
latched_rd_reg[0]/CK,cpuregs_reg[23][11]/D,0.391,12
latched_rd_reg[0]/CK,cpuregs_reg[23][30]/D,0.391,12
reg_pc_reg[12]/CK,cpuregs_reg[7][26]/D,0.386,12
latched_rd_reg[0]/CK,cpuregs_reg[13][22]/SE,0.337,9
latched_rd_reg[0]/CK,cpuregs_reg[16][3]/SE,0.336,9
reg_pc_reg[12]/CK,cpuregs_reg[24][27]/D,0.393,12
cpu_state_reg[0]/CK,cpuregs_reg[13][11]/SE,0.338,9
cpu_state_reg[0]/CK,cpuregs_reg[13][8]/SE,0.338,9
latched_rd_reg[0]/CK,cpuregs_reg[11][5]/D,0.383,12
latched_rd_reg[0]/CK,cpuregs_reg[11][4]/D,0.383,12
cpu_state_reg[0]/CK,cpuregs_reg[20][4]/D,0.396,11
latched_rd_reg[0]/CK,cpuregs_reg[16][2]/SE,0.336,9
reg_pc_reg[12]/CK,cpuregs_reg[25][28]/D,0.39,12
cpu_state_reg[0]/CK,cpuregs_reg[27][16]/D,0.396,12
cpu_state_reg[0]/CK,cpuregs_reg[6][6]/D,0.398,12
cpu_state_reg[0]/CK,cpuregs_reg[20][0]/D,0.396,11
reg_pc_reg[12]/CK,cpuregs_reg[28][16]/D,0.388,13
cpu_state_reg[0]/CK,cpuregs_reg[26][5]/D,0.391,11
cpu_state_reg[0]/CK,cpuregs_reg[6][1]/D,0.395,12
reg_pc_reg[12]/CK,cpuregs_reg[22][28]/D,0.391,12
reg_pc_reg[12]/CK,cpuregs_reg[30][29]/D,0.394,13
cpu_state_reg[0]/CK,cpuregs_reg[6][2]/D,0.397,12
latched_rd_reg[0]/CK,cpuregs_reg[13][21]/SE,0.337,9
reg_pc_reg[12]/CK,cpuregs_reg[2][16]/D,0.383,13
mem_valid_reg/CK,decoded_imm_j_reg[2]/D,0.386,12
reg_pc_reg[12]/CK,cpuregs_reg[28][27]/D,0.391,12
latched_rd_reg[0]/CK,cpuregs_reg[31][7]/D,0.39,12
cpu_state_reg[0]/CK,cpuregs_reg[20][1]/D,0.396,11
reg_pc_reg[7]/CK,cpuregs_reg[18][10]/D,0.39,10
cpu_state_reg[0]/CK,cpuregs_reg[2][4]/D,0.392,10
cpu_state_reg[0]/CK,cpuregs_reg[2][0]/D,0.392,10
cpu_state_reg[0]/CK,cpuregs_reg[23][1]/D,0.394,12
latched_rd_reg[0]/CK,cpuregs_reg[16][7]/SE,0.336,9
latched_rd_reg[0]/CK,cpuregs_reg[16][6]/SE,0.336,9
reg_pc_reg[12]/CK,cpuregs_reg[15][16]/D,0.387,13
cpu_state_reg[0]/CK,cpuregs_reg[6][0]/D,0.39,11
cpu_state_reg[0]/CK,cpuregs_reg[27][4]/D,0.39,11
cpu_state_reg[0]/CK,cpuregs_reg[26][2]/D,0.39,11
cpu_state_reg[0]/CK,cpuregs_reg[2][6]/D,0.391,10
cpu_state_reg[0]/CK,cpuregs_reg[31][31]/D,0.393,12
cpu_state_reg[0]/CK,cpuregs_reg[26][1]/D,0.39,11
cpu_state_reg[0]/CK,cpuregs_reg[22][0]/D,0.392,11
latched_rd_reg[0]/CK,cpuregs_reg[11][1]/D,0.384,12
reg_pc_reg[7]/CK,cpuregs_reg[20][9]/D,0.386,10
reg_pc_reg[12]/CK,cpuregs_reg[25][27]/D,0.39,12
latched_rd_reg[0]/CK,cpuregs_reg[17][10]/SE,0.331,9
cpu_state_reg[0]/CK,cpuregs_reg[20][5]/D,0.395,11
latched_rd_reg[0]/CK,cpuregs_reg[11][2]/D,0.383,12
cpu_state_reg[0]/CK,cpuregs_reg[6][3]/D,0.391,11
mem_valid_reg/CK,cpu_state_reg[3]/D,0.379,13
reg_pc_reg[12]/CK,cpuregs_reg[31][26]/D,0.389,12
reg_pc_reg[7]/CK,cpuregs_reg[21][10]/D,0.39,10
reg_pc_reg[7]/CK,cpuregs_reg[30][10]/D,0.388,10
cpu_state_reg[0]/CK,cpuregs_reg[2][3]/D,0.391,10
latched_rd_reg[0]/CK,cpuregs_reg[9][11]/SE,0.318,9
latched_rd_reg[0]/CK,cpuregs_reg[9][8]/SE,0.318,9
cpu_state_reg[0]/CK,cpuregs_reg[2][1]/D,0.392,10
cpu_state_reg[0]/CK,cpuregs_reg[22][16]/D,0.396,12
cpu_state_reg[0]/CK,cpuregs_reg[2][2]/D,0.392,10
reg_pc_reg[12]/CK,cpuregs_reg[29][26]/D,0.389,12
cpu_state_reg[0]/CK,cpuregs_reg[24][2]/D,0.394,12
cpu_state_reg[0]/CK,cpuregs_reg[20][3]/D,0.396,11
latched_rd_reg[0]/CK,cpuregs_reg[31][6]/D,0.388,12
reg_pc_reg[12]/CK,cpuregs_reg[27][27]/D,0.39,12
reg_pc_reg[12]/CK,cpuregs_reg[30][27]/D,0.39,12
cpu_state_reg[0]/CK,cpuregs_reg[14][1]/D,0.393,12
cpu_state_reg[0]/CK,cpuregs_reg[26][7]/D,0.396,12
latched_rd_reg[0]/CK,cpuregs_reg[16][17]/SE,0.336,9
cpu_state_reg[0]/CK,cpuregs_reg[24][4]/D,0.391,12
mem_valid_reg/CK,cpu_state_reg[0]/D,0.38,13
latched_rd_reg[0]/CK,cpuregs_reg[17][4]/SE,0.33,9
reg_pc_reg[12]/CK,cpuregs_reg[21][26]/D,0.388,12
latched_rd_reg[0]/CK,cpuregs_reg[17][1]/SE,0.331,9
cpu_state_reg[0]/CK,cpuregs_reg[19][24]/D,0.422,14
latched_rd_reg[0]/CK,cpuregs_reg[17][5]/SE,0.33,9
cpu_state_reg[0]/CK,cpuregs_reg[6][7]/D,0.393,11
mem_valid_reg/CK,decoded_imm_j_reg[1]/D,0.385,14
latched_rd_reg[0]/CK,cpuregs_reg[13][0]/SE,0.327,9
reg_pc_reg[12]/CK,cpuregs_reg[22][26]/D,0.389,12
reg_pc_reg[8]/CK,cpuregs_reg[21][11]/D,0.387,10
cpu_state_reg[0]/CK,cpuregs_reg[29][5]/D,0.393,12
cpu_state_reg[0]/CK,cpuregs_reg[27][5]/D,0.389,11
cpu_state_reg[0]/CK,cpuregs_reg[27][0]/D,0.389,11
reg_pc_reg[12]/CK,cpuregs_reg[31][16]/D,0.385,13
latched_rd_reg[0]/CK,cpuregs_reg[13][16]/SE,0.326,9
reg_pc_reg[7]/CK,cpuregs_reg[3][10]/D,0.387,10
cpu_state_reg[0]/CK,cpuregs_reg[29][0]/D,0.393,12
cpu_state_reg[0]/CK,cpuregs_reg[6][4]/D,0.388,11
latched_rd_reg[0]/CK,cpuregs_reg[13][7]/SE,0.327,9
cpu_state_reg[0]/CK,cpuregs_reg[26][3]/D,0.39,11
latched_rd_reg[0]/CK,cpuregs_reg[17][3]/SE,0.333,9
cpu_state_reg[0]/CK,cpuregs_reg[29][3]/D,0.393,12
reg_op2_reg[4]/CK,alu_out_q_reg[0]/D,0.407,14
cpu_state_reg[0]/CK,cpuregs_reg[22][5]/D,0.399,12
cpu_state_reg[0]/CK,cpuregs_reg[24][5]/D,0.392,12
latched_rd_reg[0]/CK,cpuregs_reg[13][6]/SE,0.328,9
latched_rd_reg[0]/CK,cpuregs_reg[17][11]/SE,0.331,9
reg_pc_reg[12]/CK,cpuregs_reg[15][27]/D,0.389,12
cpu_state_reg[0]/CK,cpuregs_reg[22][6]/D,0.401,12
reg_pc_reg[7]/CK,cpuregs_reg[16][9]/D,0.36,8
cpu_state_reg[0]/CK,cpuregs_reg[14][2]/D,0.392,12
reg_pc_reg[7]/CK,cpuregs_reg[3][8]/D,0.377,10
latched_rd_reg[0]/CK,cpuregs_reg[16][23]/SE,0.336,9
cpu_state_reg[0]/CK,cpuregs_reg[23][2]/D,0.393,12
latched_rd_reg[0]/CK,cpuregs_reg[13][3]/SE,0.328,9
latched_rd_reg[0]/CK,cpuregs_reg[16][22]/SE,0.336,9
cpu_state_reg[0]/CK,cpuregs_reg[29][4]/D,0.392,12
reg_pc_reg[7]/CK,cpuregs_reg[10][10]/D,0.388,10
cpu_state_reg[0]/CK,cpuregs_reg[22][7]/D,0.402,12
reg_pc_reg[12]/CK,cpuregs_reg[22][27]/D,0.39,12
reg_pc_reg[7]/CK,cpuregs_reg[17][9]/D,0.36,8
latched_rd_reg[0]/CK,cpuregs_reg[17][7]/SE,0.333,9
reg_pc_reg[12]/CK,cpuregs_reg[30][28]/D,0.385,12
latched_rd_reg[0]/CK,cpuregs_reg[9][7]/SE,0.328,9
reg_pc_reg[8]/CK,cpuregs_reg[18][11]/D,0.387,10
cpu_state_reg[0]/CK,cpuregs_reg[6][11]/D,0.394,12
cpu_state_reg[0]/CK,cpuregs_reg[6][31]/D,0.394,12
cpu_state_reg[0]/CK,cpuregs_reg[20][2]/D,0.396,11
cpu_state_reg[0]/CK,cpuregs_reg[29][1]/D,0.393,12
latched_rd_reg[0]/CK,cpuregs_reg[17][2]/SE,0.332,9
cpu_state_reg[0]/CK,cpuregs_reg[20][7]/D,0.397,11
reg_pc_reg[7]/CK,cpuregs_reg[19][9]/D,0.41,10
cpu_state_reg[0]/CK,cpuregs_reg[27][1]/D,0.387,11
latched_rd_reg[0]/CK,cpuregs_reg[9][0]/SE,0.327,9
cpu_state_reg[0]/CK,cpuregs_reg[20][6]/D,0.395,11
latched_rd_reg[0]/CK,cpuregs_reg[9][6]/SE,0.327,9
reg_pc_reg[12]/CK,cpuregs_reg[24][28]/D,0.385,12
cpu_state_reg[0]/CK,cpuregs_reg[6][13]/D,0.44,14
mem_do_rdata_reg/CK,is_alu_reg_imm_reg/D,0.372,13
cpu_state_reg[0]/CK,cpuregs_reg[25][5]/D,0.39,12
cpu_state_reg[0]/CK,cpuregs_reg[29][6]/D,0.392,12
cpu_state_reg[0]/CK,cpuregs_reg[24][7]/D,0.394,12
mem_do_rdata_reg/CK,is_lb_lh_lw_lbu_lhu_reg/D,0.372,13
mem_do_rinst_reg/CK,mem_addr_reg[28]/SI,0.317,9
cpu_state_reg[0]/CK,cpuregs_reg[29][2]/D,0.392,12
mem_valid_reg/CK,decoded_imm_j_reg[4]/D,0.396,13
mem_do_rdata_reg/CK,is_sb_sh_sw_reg/D,0.372,13
latched_rd_reg[0]/CK,cpuregs_reg[21][9]/D,0.386,12
cpu_state_reg[0]/CK,cpuregs_reg[6][25]/D,0.441,14
cpu_state_reg[0]/CK,cpuregs_reg[26][6]/D,0.39,11
cpu_state_reg[0]/CK,cpuregs_reg[27][3]/D,0.388,11
cpu_state_reg[0]/CK,cpuregs_reg[24][3]/D,0.394,12
reg_pc_reg[12]/CK,cpuregs_reg[23][16]/D,0.386,13
cpu_state_reg[0]/CK,cpuregs_reg[24][1]/D,0.391,12
reg_pc_reg[7]/CK,cpuregs_reg[23][9]/D,0.409,10
cpu_state_reg[0]/CK,cpuregs_reg[28][5]/D,0.391,12
cpu_state_reg[0]/CK,cpuregs_reg[26][0]/D,0.388,11
cpu_state_reg[0]/CK,cpuregs_reg[15][2]/D,0.39,12
latched_rd_reg[0]/CK,cpuregs_reg[5][16]/SE,0.324,9
reg_pc_reg[12]/CK,cpuregs_reg[14][28]/D,0.446,14
reg_pc_reg[7]/CK,cpuregs_reg[28][9]/D,0.411,10
reg_pc_reg[7]/CK,cpuregs_reg[26][9]/D,0.411,10
mem_do_rinst_reg/CK,mem_addr_reg[14]/SI,0.32,9
cpu_state_reg[0]/CK,cpuregs_reg[6][5]/D,0.396,12
cpu_state_reg[0]/CK,cpuregs_reg[31][4]/D,0.386,11
latched_rd_reg[0]/CK,cpuregs_reg[5][11]/SE,0.325,9
cpu_state_reg[0]/CK,cpuregs_reg[23][4]/D,0.386,11
cpu_state_reg[0]/CK,cpuregs_reg[31][0]/D,0.386,11
mem_do_rinst_reg/CK,mem_addr_reg[25]/SI,0.314,9
cpu_state_reg[0]/CK,cpuregs_reg[27][2]/D,0.387,11
mem_do_rinst_reg/CK,mem_addr_reg[5]/SI,0.333,9
cpu_state_reg[0]/CK,cpuregs_reg[20][15]/D,0.393,11
reg_pc_reg[7]/CK,cpuregs_reg[29][10]/D,0.387,10
latched_rd_reg[0]/CK,cpuregs_reg[17][0]/SE,0.329,9
cpu_state_reg[0]/CK,cpuregs_reg[25][2]/D,0.39,12
latched_rd_reg[0]/CK,cpuregs_reg[17][23]/SE,0.334,9
cpu_state_reg[0]/CK,cpuregs_reg[28][4]/D,0.391,12
cpu_state_reg[0]/CK,cpuregs_reg[6][9]/D,0.44,14
cpu_state_reg[0]/CK,cpuregs_reg[24][0]/D,0.39,12
cpu_state_reg[0]/CK,cpuregs_reg[15][4]/D,0.387,11
mem_do_rdata_reg/CK,is_alu_reg_reg_reg/D,0.372,13
latched_stalu_reg/CK,reg_next_pc_reg[3]/D,0.396,14
cpu_state_reg[0]/CK,cpuregs_reg[28][3]/D,0.391,12
cpu_state_reg[0]/CK,cpuregs_reg[27][6]/D,0.389,11
cpu_state_reg[0]/CK,cpuregs_reg[15][1]/D,0.39,12
mem_do_rinst_reg/CK,mem_addr_reg[24]/SI,0.314,9
cpu_state_reg[0]/CK,cpuregs_reg[25][4]/D,0.389,12
cpu_state_reg[0]/CK,cpuregs_reg[24][6]/D,0.393,12
latched_rd_reg[0]/CK,cpuregs_reg[7][7]/D,0.38,12
cpu_state_reg[0]/CK,cpuregs_reg[28][31]/D,0.391,11
latched_rd_reg[0]/CK,cpuregs_reg[15][6]/D,0.382,12
reg_pc_reg[12]/CK,cpuregs_reg[11][23]/D,0.437,15
latched_rd_reg[0]/CK,cpuregs_reg[16][20]/SE,0.336,9
reg_pc_reg[12]/CK,cpuregs_reg[6][28]/D,0.446,14
latched_rd_reg[0]/CK,cpuregs_reg[17][6]/SE,0.328,9
cpu_state_reg[0]/CK,cpuregs_reg[19][18]/D,0.421,14
reg_pc_reg[12]/CK,cpuregs_reg[26][16]/D,0.384,13
reg_pc_reg[12]/CK,cpuregs_reg[7][23]/D,0.437,15
latched_rd_reg[0]/CK,cpuregs_reg[9][3]/SE,0.326,9
mem_valid_reg/CK,cpu_state_reg[7]/D,0.378,13
mem_do_rinst_reg/CK,mem_addr_reg[30]/SI,0.314,10
cpu_state_reg[0]/CK,cpuregs_reg[29][7]/D,0.393,12
reg_pc_reg[12]/CK,cpuregs_reg[26][28]/D,0.385,12
mem_do_rinst_reg/CK,mem_addr_reg[6]/SI,0.333,9
reg_pc_reg[12]/CK,cpuregs_reg[30][16]/D,0.384,13
reg_pc_reg[7]/CK,cpuregs_reg[18][14]/D,0.411,11
cpu_state_reg[0]/CK,cpuregs_reg[27][7]/D,0.392,12
cpu_state_reg[0]/CK,cpuregs_reg[28][0]/D,0.389,12
reg_pc_reg[7]/CK,cpuregs_reg[31][14]/D,0.414,11
latched_rd_reg[0]/CK,cpuregs_reg[23][5]/D,0.382,12
latched_rd_reg[0]/CK,cpuregs_reg[7][6]/D,0.379,12
latched_rd_reg[0]/CK,cpuregs_reg[5][6]/SE,0.325,9
cpu_state_reg[0]/CK,cpuregs_reg[6][15]/D,0.44,14
latched_rd_reg[0]/CK,cpuregs_reg[16][19]/SE,0.336,9
cpu_state_reg[0]/CK,cpuregs_reg[2][5]/D,0.387,10
latched_rd_reg[0]/CK,cpuregs_reg[16][21]/SE,0.336,9
cpu_state_reg[0]/CK,cpuregs_reg[25][0]/D,0.388,12
mem_do_rdata_reg/CK,is_beq_bne_blt_bge_bltu_bgeu_reg/D,0.366,12
cpu_state_reg[0]/CK,cpuregs_reg[25][1]/D,0.388,12
reg_pc_reg[7]/CK,cpuregs_reg[16][14]/D,0.359,8
cpu_state_reg[0]/CK,cpuregs_reg[28][6]/D,0.39,12
cpu_state_reg[0]/CK,cpuregs_reg[15][7]/D,0.389,11
latched_rd_reg[0]/CK,cpuregs_reg[17][17]/SE,0.331,9
cpu_state_reg[0]/CK,cpuregs_reg[28][1]/D,0.389,12
reg_pc_reg[7]/CK,cpuregs_reg[12][9]/D,0.39,9
cpu_state_reg[0]/CK,cpuregs_reg[25][7]/D,0.391,12
mem_valid_reg/CK,cpu_state_reg[2]/D,0.376,12
latched_rd_reg[0]/CK,cpuregs_reg[5][7]/SE,0.325,9
latched_rd_reg[0]/CK,cpuregs_reg[9][24]/SE,0.318,9
cpu_state_reg[0]/CK,cpuregs_reg[28][7]/D,0.39,12
reg_pc_reg[12]/CK,cpuregs_reg[25][31]/D,0.378,12
reg_pc_reg[12]/CK,cpuregs_reg[19][28]/D,0.444,14
latched_rd_reg[0]/CK,cpuregs_reg[15][5]/D,0.381,12
reg_pc_reg[12]/CK,cpuregs_reg[9][23]/D,0.392,12
cpu_state_reg[0]/CK,cpuregs_reg[25][3]/D,0.39,12
reg_pc_reg[12]/CK,cpuregs_reg[3][28]/D,0.446,14
reg_pc_reg[12]/CK,cpuregs_reg[8][23]/D,0.392,12
mem_do_rinst_reg/CK,mem_addr_reg[18]/SI,0.315,9
cpu_state_reg[0]/CK,cpuregs_reg[28][2]/D,0.388,12
latched_rd_reg[0]/CK,cpuregs_reg[13][1]/SE,0.327,9
reg_pc_reg[12]/CK,cpuregs_reg[12][23]/D,0.392,12
latched_rd_reg[0]/CK,cpuregs_reg[5][0]/SE,0.325,9
decoded_imm_reg[3]/CK,reg_out_reg[5]/D,0.371,9
reg_pc_reg[12]/CK,cpuregs_reg[2][28]/D,0.445,14
latched_rd_reg[0]/CK,cpuregs_reg[17][20]/SE,0.334,9
latched_rd_reg[0]/CK,cpuregs_reg[23][6]/D,0.383,12
reg_pc_reg[7]/CK,cpuregs_reg[27][14]/D,0.412,11
latched_rd_reg[0]/CK,cpuregs_reg[13][4]/SE,0.327,9
latched_rd_reg[0]/CK,cpuregs_reg[13][24]/SE,0.319,9
latched_rd_reg[0]/CK,cpuregs_reg[23][7]/D,0.383,12
reg_pc_reg[7]/CK,cpuregs_reg[29][14]/D,0.412,11
reg_pc_reg[7]/CK,cpuregs_reg[26][14]/D,0.412,11
reg_pc_reg[7]/CK,cpuregs_reg[30][9]/D,0.41,10
reg_pc_reg[12]/CK,cpuregs_reg[10][28]/D,0.443,14
cpu_state_reg[0]/CK,cpuregs_reg[21][0]/D,0.389,12
reg_pc_reg[12]/CK,cpuregs_reg[24][31]/D,0.377,12
reg_pc_reg[7]/CK,cpuregs_reg[31][9]/D,0.41,10
reg_pc_reg[7]/CK,cpuregs_reg[20][14]/D,0.405,10
decoded_imm_reg[3]/CK,reg_out_reg[6]/D,0.367,8
latched_rd_reg[0]/CK,cpuregs_reg[13][20]/SE,0.328,9
latched_rd_reg[0]/CK,cpuregs_reg[13][2]/SE,0.327,9
reg_pc_reg[12]/CK,cpuregs_reg[29][31]/D,0.377,12
reg_pc_reg[7]/CK,cpuregs_reg[24][9]/D,0.41,10
reg_pc_reg[12]/CK,cpuregs_reg[2][23]/D,0.437,15
reg_pc_reg[12]/CK,cpuregs_reg[13][23]/D,0.392,12
cpu_state_reg[0]/CK,cpuregs_reg[21][3]/D,0.39,12
cpu_state_reg[0]/CK,cpuregs_reg[25][6]/D,0.389,12
latched_rd_reg[0]/CK,cpuregs_reg[17][21]/SE,0.334,9
latched_rd_reg[0]/CK,cpuregs_reg[17][19]/SE,0.333,9
reg_pc_reg[7]/CK,cpuregs_reg[21][14]/D,0.404,10
cpu_state_reg[0]/CK,cpuregs_reg[23][3]/D,0.386,11
mem_do_rinst_reg/CK,mem_addr_reg[8]/SI,0.313,9
latched_rd_reg[0]/CK,cpuregs_reg[5][10]/SE,0.324,9
