Launch Point, Capturing point, Data Path Delay, Number of cominational cells in data path
decoded_imm_j_reg[19]/CK,reg_op1_reg[27]/D,0.404,10
reg_pc_reg[12]/CK,cpuregs_reg[6][21]/D,0.422,14
reg_op1_reg[3]/CK,mem_do_rinst_reg/D,0.405,16
reg_pc_reg[12]/CK,cpuregs_reg[7][21]/D,0.421,14
reg_op1_reg[3]/CK,alu_out_q_reg[19]/D,0.395,15
reg_op1_reg[3]/CK,alu_out_q_reg[27]/D,0.4,16
latched_stalu_reg/CK,reg_next_pc_reg[21]/D,0.417,17
reg_pc_reg[12]/CK,cpuregs_reg[16][21]/D,0.378,11
decoded_imm_j_reg[19]/CK,reg_next_pc_reg[27]/D,0.404,14
reg_pc_reg[12]/CK,cpuregs_reg[17][21]/D,0.378,11
reg_op1_reg[3]/CK,alu_out_q_reg[17]/D,0.393,13
decoded_imm_j_reg[18]/CK,reg_op1_reg[4]/D,0.414,11
reg_pc_reg[12]/CK,cpuregs_reg[26][21]/D,0.422,14
reg_pc_reg[7]/CK,reg_out_reg[26]/D,0.406,13
reg_op1_reg[3]/CK,alu_out_q_reg[20]/D,0.399,16
reg_pc_reg[12]/CK,cpuregs_reg[27][21]/D,0.422,14
reg_pc_reg[12]/CK,cpuregs_reg[18][21]/D,0.422,14
reg_pc_reg[12]/CK,cpuregs_reg[29][21]/D,0.418,14
latched_stalu_reg/CK,reg_next_pc_reg[16]/D,0.415,17
reg_pc_reg[12]/CK,cpuregs_reg[10][21]/D,0.421,14
reg_pc_reg[12]/CK,cpuregs_reg[28][21]/D,0.422,14
reg_pc_reg[12]/CK,cpuregs_reg[15][19]/D,0.417,14
decoded_imm_j_reg[4]/CK,reg_op2_reg[10]/D,0.397,12
reg_pc_reg[12]/CK,cpuregs_reg[4][19]/D,0.373,11
reg_pc_reg[12]/CK,cpuregs_reg[1][19]/D,0.373,11
decoded_imm_j_reg[11]/CK,reg_op2_reg[2]/D,0.399,12
reg_pc_reg[12]/CK,cpuregs_reg[23][21]/D,0.421,14
reg_pc_reg[12]/CK,reg_out_reg[24]/D,0.402,14
decoded_imm_j_reg[11]/CK,reg_sh_reg[2]/D,0.417,13
reg_pc_reg[12]/CK,cpuregs_reg[6][19]/D,0.417,14
reg_op1_reg[3]/CK,decoder_trigger_reg/D,0.402,15
reg_pc_reg[12]/CK,cpuregs_reg[29][19]/D,0.42,14
decoded_imm_j_reg[18]/CK,reg_op1_reg[7]/D,0.412,11
reg_pc_reg[12]/CK,cpuregs_reg[24][21]/D,0.421,14
reg_op1_reg[3]/CK,alu_out_q_reg[30]/D,0.403,17
reg_op1_reg[3]/CK,latched_store_reg/D,0.403,16
reg_pc_reg[12]/CK,cpuregs_reg[30][19]/D,0.418,14
reg_pc_reg[12]/CK,cpuregs_reg[20][21]/D,0.422,14
reg_pc_reg[12]/CK,cpuregs_reg[2][19]/D,0.417,14
reg_pc_reg[7]/CK,reg_out_reg[21]/D,0.402,13
reg_pc_reg[12]/CK,cpuregs_reg[26][19]/D,0.419,14
reg_pc_reg[12]/CK,cpuregs_reg[28][19]/D,0.42,14
reg_pc_reg[12]/CK,cpuregs_reg[22][21]/D,0.421,14
decoded_imm_j_reg[18]/CK,reg_op1_reg[0]/D,0.411,13
reg_pc_reg[12]/CK,cpuregs_reg[3][19]/D,0.418,14
reg_pc_reg[12]/CK,cpuregs_reg[31][19]/D,0.417,14
decoded_imm_j_reg[11]/CK,reg_op2_reg[4]/D,0.405,15
reg_pc_reg[12]/CK,cpuregs_reg[19][21]/D,0.421,14
reg_op1_reg[3]/CK,alu_out_q_reg[26]/D,0.401,15
reg_pc_reg[12]/CK,reg_out_reg[17]/D,0.399,14
reg_pc_reg[12]/CK,cpuregs_reg[27][19]/D,0.417,14
latched_stalu_reg/CK,reg_next_pc_reg[10]/D,0.408,15
reg_pc_reg[12]/CK,cpuregs_reg[24][19]/D,0.417,14
reg_pc_reg[12]/CK,cpuregs_reg[17][19]/D,0.374,11
reg_pc_reg[12]/CK,cpuregs_reg[16][19]/D,0.374,11
decoded_imm_j_reg[2]/CK,reg_op2_reg[3]/D,0.4,11
reg_pc_reg[12]/CK,cpuregs_reg[5][22]/D,0.37,11
reg_pc_reg[12]/CK,cpuregs_reg[5][17]/D,0.368,11
reg_pc_reg[12]/CK,cpuregs_reg[4][22]/D,0.37,11
reg_pc_reg[12]/CK,cpuregs_reg[21][21]/D,0.421,14
reg_pc_reg[12]/CK,cpuregs_reg[22][19]/D,0.418,14
latched_stalu_reg/CK,reg_next_pc_reg[24]/D,0.447,18
reg_pc_reg[12]/CK,cpuregs_reg[18][19]/D,0.417,14
reg_pc_reg[12]/CK,cpuregs_reg[12][22]/D,0.37,11
reg_pc_reg[12]/CK,cpuregs_reg[27][17]/D,0.414,14
reg_pc_reg[12]/CK,cpuregs_reg[13][22]/D,0.37,11
reg_pc_reg[12]/CK,cpuregs_reg[8][22]/D,0.37,11
reg_pc_reg[12]/CK,cpuregs_reg[16][22]/D,0.371,11
reg_pc_reg[12]/CK,cpuregs_reg[17][17]/D,0.371,11
reg_pc_reg[12]/CK,cpuregs_reg[9][22]/D,0.37,11
reg_pc_reg[12]/CK,cpuregs_reg[16][17]/D,0.371,11
decoded_imm_j_reg[18]/CK,reg_op1_reg[5]/D,0.41,11
latched_stalu_reg/CK,reg_next_pc_reg[9]/D,0.407,15
reg_op1_reg[3]/CK,alu_out_q_reg[31]/D,0.39,14
reg_pc_reg[12]/CK,cpuregs_reg[23][19]/D,0.417,14
reg_pc_reg[12]/CK,cpuregs_reg[19][19]/D,0.418,14
reg_pc_reg[12]/CK,cpuregs_reg[25][19]/D,0.418,14
reg_pc_reg[12]/CK,cpuregs_reg[6][17]/D,0.412,14
decoded_imm_j_reg[2]/CK,reg_op2_reg[5]/D,0.397,11
reg_pc_reg[12]/CK,cpuregs_reg[20][19]/D,0.418,14
reg_pc_reg[12]/CK,cpuregs_reg[30][17]/D,0.414,14
reg_pc_reg[12]/CK,cpuregs_reg[26][17]/D,0.414,14
reg_pc_reg[12]/CK,cpuregs_reg[22][17]/D,0.414,14
decoded_imm_reg[19]/CK,reg_out_reg[28]/D,0.399,14
reg_pc_reg[7]/CK,reg_out_reg[27]/D,0.398,13
reg_pc_reg[12]/CK,cpuregs_reg[20][17]/D,0.414,14
reg_pc_reg[12]/CK,reg_out_reg[22]/D,0.398,14
reg_pc_reg[12]/CK,cpuregs_reg[24][17]/D,0.414,14
reg_pc_reg[12]/CK,cpuregs_reg[28][17]/D,0.414,14
reg_pc_reg[12]/CK,cpuregs_reg[21][19]/D,0.418,14
decoded_imm_j_reg[11]/CK,reg_op2_reg[17]/D,0.409,11
reg_pc_reg[12]/CK,cpuregs_reg[31][17]/D,0.414,14
latched_stalu_reg/CK,reg_next_pc_reg[19]/D,0.409,16
reg_pc_reg[12]/CK,cpuregs_reg[29][17]/D,0.413,14
latched_stalu_reg/CK,reg_next_pc_reg[12]/D,0.408,17
reg_op1_reg[3]/CK,latched_branch_reg/D,0.402,15
reg_pc_reg[12]/CK,cpuregs_reg[3][24]/D,0.397,14
reg_pc_reg[12]/CK,cpuregs_reg[5][24]/D,0.352,11
reg_pc_reg[12]/CK,cpuregs_reg[23][17]/D,0.414,14
reg_pc_reg[12]/CK,cpuregs_reg[1][24]/D,0.352,11
latched_stalu_reg/CK,reg_next_pc_reg[11]/D,0.41,17
reg_pc_reg[12]/CK,cpuregs_reg[25][17]/D,0.41,14
decoded_imm_reg[1]/CK,reg_out_reg[8]/D,0.398,9
reg_pc_reg[12]/CK,cpuregs_reg[19][17]/D,0.414,14
reg_pc_reg[7]/CK,reg_out_reg[23]/D,0.396,13
reg_pc_reg[12]/CK,cpuregs_reg[15][24]/D,0.397,14
reg_pc_reg[12]/CK,cpuregs_reg[11][24]/D,0.397,14
reg_op1_reg[3]/CK,alu_out_q_reg[16]/D,0.384,13
reg_pc_reg[7]/CK,reg_out_reg[19]/D,0.399,13
reg_pc_reg[12]/CK,cpuregs_reg[6][24]/D,0.397,14
latched_stalu_reg/CK,reg_next_pc_reg[8]/D,0.414,16
latched_branch_reg/CK,reg_next_pc_reg[14]/D,0.403,16
reg_pc_reg[12]/CK,cpuregs_reg[21][17]/D,0.414,14
latched_stalu_reg/CK,reg_next_pc_reg[13]/D,0.408,17
decoded_imm_reg[17]/CK,reg_out_reg[25]/D,0.396,14
decoded_imm_j_reg[18]/CK,reg_op1_reg[14]/D,0.41,9
reg_pc_reg[12]/CK,cpuregs_reg[9][24]/D,0.351,11
decoded_imm_j_reg[2]/CK,reg_op2_reg[1]/D,0.394,11
reg_pc_reg[12]/CK,cpuregs_reg[27][22]/D,0.41,14
reg_op1_reg[3]/CK,alu_out_q_reg[29]/D,0.389,16
reg_pc_reg[7]/CK,reg_out_reg[30]/D,0.393,12
reg_op1_reg[3]/CK,alu_out_q_reg[15]/D,0.392,13
reg_pc_reg[12]/CK,cpuregs_reg[18][17]/D,0.411,14
reg_op1_reg[3]/CK,alu_out_q_reg[25]/D,0.388,16
reg_pc_reg[12]/CK,cpuregs_reg[29][22]/D,0.41,14
latched_stalu_reg/CK,reg_next_pc_reg[28]/D,0.439,17
latched_stalu_reg/CK,reg_next_pc_reg[5]/D,0.41,16
reg_pc_reg[12]/CK,cpuregs_reg[13][24]/D,0.351,11
reg_pc_reg[12]/CK,cpuregs_reg[31][22]/D,0.41,14
reg_pc_reg[12]/CK,cpuregs_reg[2][24]/D,0.394,14
reg_pc_reg[7]/CK,reg_out_reg[29]/D,0.397,13
reg_pc_reg[12]/CK,cpuregs_reg[26][22]/D,0.41,14
decoded_imm_j_reg[11]/CK,reg_op2_reg[0]/D,0.387,13
reg_pc_reg[12]/CK,cpuregs_reg[1][22]/D,0.365,11
reg_pc_reg[12]/CK,cpuregs_reg[14][24]/D,0.393,14
reg_pc_reg[12]/CK,cpuregs_reg[6][22]/D,0.409,14
reg_pc_reg[12]/CK,cpuregs_reg[19][22]/D,0.409,14
reg_pc_reg[12]/CK,cpuregs_reg[24][22]/D,0.409,14
reg_op1_reg[3]/CK,alu_out_q_reg[13]/D,0.391,13
reg_pc_reg[12]/CK,cpuregs_reg[30][22]/D,0.409,14
reg_pc_reg[12]/CK,cpuregs_reg[18][22]/D,0.409,14
reg_pc_reg[7]/CK,cpuregs_reg[1][12]/D,0.345,8
reg_pc_reg[12]/CK,cpuregs_reg[22][22]/D,0.409,14
reg_pc_reg[7]/CK,reg_out_reg[18]/D,0.393,13
reg_pc_reg[12]/CK,cpuregs_reg[2][22]/D,0.407,14
decoded_imm_j_reg[4]/CK,reg_op2_reg[19]/D,0.398,13
reg_pc_reg[12]/CK,cpuregs_reg[23][22]/D,0.408,14
latched_stalu_reg/CK,reg_next_pc_reg[15]/D,0.408,15
latched_stalu_reg/CK,reg_next_pc_reg[6]/D,0.408,16
reg_pc_reg[12]/CK,cpuregs_reg[3][22]/D,0.408,14
reg_pc_reg[12]/CK,cpuregs_reg[3][17]/D,0.405,14
reg_pc_reg[12]/CK,cpuregs_reg[10][22]/D,0.409,14
reg_pc_reg[7]/CK,reg_out_reg[14]/D,0.397,11
reg_pc_reg[12]/CK,cpuregs_reg[11][22]/D,0.408,14
reg_op1_reg[3]/CK,alu_out_q_reg[28]/D,0.391,15
reg_pc_reg[12]/CK,cpuregs_reg[15][22]/D,0.407,14
reg_pc_reg[12]/CK,cpuregs_reg[17][20]/D,0.364,11
reg_pc_reg[12]/CK,cpuregs_reg[16][20]/D,0.364,11
reg_op1_reg[3]/CK,alu_out_q_reg[11]/D,0.384,14
reg_op1_reg[3]/CK,alu_out_q_reg[10]/D,0.379,12
