pathIdx,startPoint,endPoint,techmapPD,pathLength
1,instr_slti_reg_clk,reg_op1_reg_4__D,0.48500000000000004,14
2,instr_slti_reg_clk,reg_op1_reg_5__D,0.4860000000000001,16
3,instr_slti_reg_clk,reg_op1_reg_1__D,0.483,15
4,instr_slti_reg_clk,reg_op1_reg_3__D,0.485,16
5,instr_slti_reg_clk,reg_op1_reg_9__D,0.4840000000000001,14
6,instr_slti_reg_clk,reg_op1_reg_20__D,0.485,15
7,instr_sub_reg_clk,alu_out_q_reg_19__D,0.4750000000000001,13
8,instr_slti_reg_clk,reg_op1_reg_21__D,0.4860000000000001,16
9,instr_slti_reg_clk,reg_op1_reg_0__D,0.47800000000000004,16
10,instr_slti_reg_clk,reg_op1_reg_30__D,0.4850000000000001,16
11,instr_slti_reg_clk,reg_op1_reg_31__D,0.48500000000000004,16
12,instr_slti_reg_clk,reg_op1_reg_26__D,0.4779999999999999,14
13,instr_slti_reg_clk,reg_op1_reg_17__D,0.4840000000000001,16
14,instr_slti_reg_clk,reg_op1_reg_23__D,0.48300000000000004,17
15,instr_slti_reg_clk,reg_op1_reg_12__D,0.48100000000000004,16
16,instr_slti_reg_clk,reg_op1_reg_11__D,0.4830000000000001,16
17,instr_slti_reg_clk,reg_op2_reg_23__D,0.4830000000000001,17
18,instr_slti_reg_clk,reg_op1_reg_16__D,0.48100000000000004,16
19,instr_slti_reg_clk,reg_op2_reg_14__D,0.4780000000000002,17
20,instr_slti_reg_clk,reg_op1_reg_7__D,0.4789999999999999,14
21,instr_slti_reg_clk,reg_op1_reg_27__D,0.483,15
22,instr_slti_reg_clk,reg_op1_reg_14__D,0.483,15
23,instr_slti_reg_clk,reg_op1_reg_18__D,0.48400000000000004,16
24,instr_slti_reg_clk,reg_op1_reg_28__D,0.48000000000000004,16
25,instr_slti_reg_clk,reg_op1_reg_8__D,0.4810000000000001,16
26,instr_slti_reg_clk,reg_op1_reg_2__D,0.4770000000000001,15
27,instr_sub_reg_clk,alu_out_q_reg_18__D,0.4750000000000002,16
28,instr_slti_reg_clk,reg_op1_reg_29__D,0.48,16
